Date,Impressions,Clicks,Earning
6/1/13,"139,237",37,227.21
6/2/13,"149,582",55,234.71
6/3/13,"457,425",132,211.48
6/4/13,"466,870",141,298.40
6/5/13,"472,385",194,281.35
6/6/13,"438,653",153,273.21
6/7/13,"423,614",155,283.66
6/8/13,"112,449",62,223.89
6/9/13,"126,651",50,297.97
6/10/13,"453,405",135,291.16
6/11/13,"461,418",140,209.42
6/12/13,"436,383",135,258.28
6/13/13,"424,476",143,242.72
6/14/13,"314,817",103,283.95
6/15/13,"120,120",50,278.57
6/16/13,"138,803",46,196.92
6/17/13,"448,633",108,287.78
6/18/13,"436,350",135,197.08
6/19/13,"418,489",149,213.00
6/20/13,"323,947",121,212.35
6/21/13,"323,037",88,237.25
6/22/13,"138,339",55,141.93
6/23/13,"143,570",60,153.19
6/24/13,"328,277",145,217.84
6/25/13,"426,393",142,198.54
6/26/13,"496,995",160,155.20
